heavy_species,count
homo sapiens,9602
mus musculus,4426
lama glama,1845
vicugna pacos,967
synthetic construct,703
macaca mulatta,347
unknown,253
oryctolagus cuniculus,227
camelus dromedarius,211
"mus musculus, homo sapiens",176
rattus norvegicus,127
camelidae,106
camelus bactrianus,83
bos taurus,43
camelidae mixed library,41
macaca fascicularis,32
gallus gallus,32
macaca,32
"homo sapiens, mus musculus",29
unidentified,26
mus sp.,25
sus scrofa,24
rattus rattus,23
platyrrhini,20
mus musculoides,19
rattus,18
pseudomonas aeruginosa,18
orectolobus maculatus,17
"homo sapiens, synthetic construct",17
lama,17
human immunodeficiency virus 1,15
chiloscyllium plagiosum,13
cricetulus migratorius,12
ginglymostoma cirratum,12
"lama glama, helicobacter pylori g27",10
"helicobacter pylori, helicobacter pylori(strain g27)",10
mammal environmental sample,9
nanoa,8
synthetic,8
eggerthella lenta,8
escherichia phage ecszw-2,8
"oryctolagus cuniculus, homo sapiens",7
"lama glama, escherichia coli (strain k12)",7
"gallus gallus, mus musculus",7
severe acute respiratory syndrome coronavirus2,7
artificial sequences,6
unclassified,6
"gallus gallus, homo sapiens",6
escherichia coli k-12,6
vicugna pacos huacaya,5
"mus musculus,homo sapiens",5
squalus acanthias,5
lamium maculatum,5
mus,5
"helicobacter pylori (strain g27), lama glama",5
coxsackievirus a16,5
homo sapiens x mus musculus hybrid cell line,4
cricetulus griseus,4
phage display vector ptdisp,4
"mus musculus, synthetic construct",4
"lama glama, helicobacter pylori (strain g27)",4
"helicobacter pylori (strain g27), helicobacterpylori g27",4
pan troglodytes,4
escherichia coli bl21(de3),4
dengue virus,4
"murinae,homo sapiens",4
"orectolobus maculatus, homo sapiens",4
neopyropia tenera,4
homo sapiens/mus musculus xenograft,4
equus caballus,3
lama pacos,3
canis lupus familiaris,3
sars coronavirus b012,3
influenza a virus (a/hong kong/1-4-ma21-1/1968(h3n2)),3
helicobacter pylori,3
myzus persicae,3
homo,3
mesocricetus auratus,3
influenza a virus,3
ondatra zibethicus,2
unidentified monkey,2
spodoptera,2
"escherichia coli (strain k12), ovis aries",2
ovis aries,2
"synthetic construct, escherichia coli (straink12)",2
myodes glareolus,2
"helicobacter pylori, synthetic construct",2
other sequences,2
norovirus,2
"human cytomegalovirus, lama glama",2
"synthetic construct, methanosarcina mazei",2
"rattus, homo sapiens",2
escherichia coli str. k-12 substr. w3110,2
"homo sapiens, mus musculus, homo sapiens",2
"aequorea victoria, vicugna pacos",2
influenza a virus (a/nt/60/1968(h3n2)),2
saccharopolyspora erythraea,2
homo heidelbergensis,1
"mus, mus musculus",1
"lama glama, escherichia coli k-12",1
grapevine fanleaf virus,1
bacteriophage sp.,1
"homo sapiens, rattus norvegicus",1
pseudomonas aeruginosa pao1,1
mammalia,1
camelus ferus,1
saccharomyces cerevisiae s288c,1
oplophorus gracilirostris,1
helicobacter pylori g27,1
aequorea victoria,1
okamejei kenojei,1
hybrid,1
plasmodium falciparum nf54,1
artichoke mottled crinkle virus,1
human enterovirus,1
murine adenovirus 1,1
human hepatitis a virushu/australia/hm175/1976,1
synthetic construct (code 12),1
human immunodeficiency virus,1
"vicugna pacos, lama glama",1
mus musculus albula,1
