cdr3_length,sabdab_human_count,oas_heavy_count,oas_paired_count
3,2,0,0
4,9,0,0
5,34,3894,3785
6,25,19048,8615
7,69,11729,9712
8,147,29527,21026
9,253,55923,43493
10,315,94761,75143
11,628,136710,117320
12,787,176303,156281
13,797,204901,183067
14,1263,230757,223666
15,799,219667,214946
16,833,181260,192146
17,576,154951,170718
18,547,135623,151459
19,469,101909,119039
20,555,81963,95615
21,446,55228,69346
22,312,37957,50901
23,214,29669,34125
24,119,15255,23383
25,73,8814,14727
26,262,6463,8807
27,7,3588,5005
28,25,1608,3148
29,8,1007,1938
30,6,921,1033
31,5,233,623
32,0,196,432
33,13,75,251
34,2,39,120
35,2,21,130
