antigen_species,count
unknown,3907
homo sapiens,3278
severe acute respiratory syndrome coronavirus2,2491
human immunodeficiency virus 1,1188
homo sapiens | homo sapiens,997
mus musculus,589
plasmodium falciparum,350
influenza a virus,328
escherichia coli,225
synthetic construct,192
human immunodeficiency virus 1 | human immunodeficiency virus 1,161
influenza a virus | influenza a virus,159
homo sapiens | homo sapiens | homo sapiens,146
gallus gallus,112
plasmodium falciparum 3d7,109
rattus norvegicus,98
homo sapiens | rattus norvegicus,77
streptomyces lividans,77
middle east respiratory syndrome-relatedcoronavirus,72
severe acute respiratory syndrome coronavirus,71
zika virus,69
bos taurus,64
severe acute respiratory syndrome coronavirus2  | severe acute respiratory syndrome coronavirus2,56
staphylococcus aureus,55
hepatitis c virus,53
hiv-1 06tg.ht008,53
respiratory syncytial virus a2,53
clostridium botulinum,51
dengue virus 2,50
ebola virus,47
caenorhabditis elegans,44
ricinus communis,43
plasmodium vivax,40
influenza b virus,39
saccharomyces cerevisiae,33
caulobacter vibrioides,33
"severe acute respiratory syndrome coronavirus2, enterobacteria phage t4",32
bos taurus | homo sapiens,32
"homo sapiens, escherichia coli",31
"mus musculus, homo sapiens",31
plasmodium vivax (strain salvador i),30
norovirus,30
henipavirus nipahense,30
human metapneumovirus,30
helicobacter pylori,30
human immunodeficiency virus 1 | human immunodeficiency virus 1 | human immunodeficiency virus 1,29
arachis hypogaea,28
human respirovirus 3,28
lama glama,27
hepacivirus c,27
arabidopsis thaliana,25
plasmodium falciparum (isolate 3d7),24
sus scrofa,24
eastern equine encephalitis virus,24
nipah henipavirus,24
zika virus zikv/h.sapiens/frenchpolynesia/10087pf/2013,24
thermotoga maritima | thermotoga maritima,24
human betaherpesvirus 5,23
human gammaherpesvirus 4,23
pseudomonas aeruginosa pa14,23
"severe acute respiratory syndrome coronavirus2, tequatrovirus t4, synthetic construct",23
saccharopolyspora erythraea,23
paramecium bursaria chlorella virus cz-2,22
human immunodeficiency virus,22
bos taurus | rattus norvegicus,22
respiratory syncytial virus,22
influenza a virus (a/california/07/2009(h1n1)),22
clostridioides difficile,22
"severe acute respiratory syndrome coronavirus2, enterobacteria phage t6, synthetic construct",22
aequorea victoria,22
severe fever with thrombocytopenia syndromevirus,22
drosophila melanogaster,22
saccharomyces cerevisiae (strain atcc 204508 /s288c),21
escherichia coli k-12,20
human papillomavirus type 16,20
rift valley fever virus,20
vesicular stomatitis indiana virus (strain sanjuan),20
canis lupus familiaris,20
hepatitis c virus (isolate h),19
"ebola virus - mayinga, zaire, 1976",19
borreliella burgdorferi b31,19
chikungunya virus | chikungunya virus,19
vaccinia virus,19
sudan ebolavirus,18
human coronavirus oc43,18
rattus norvegicus | homo sapiens,18
dengue virus 1,17
recombinant hepatitis c virus hk6a/jfh-1,17
"homo sapiens, aequorea victoria",17
